1A 3F 7C 2E
55 91 B4 E2
18 4D 8A CF
33 76 A9 DC
11 45 88 BB
22 67 AA ED
0F 3C 7B BE
29 5D 9C FB
04 2A 6D C1
37 74 B3 E9
1E 4B 82 D5
0A 3D 71 C4
26 59 97 FE
13 48 8F DA
2D 64 A3 EC
07 2F 5E 9D
34 78 B7 E5
1B 42 85 D3
0C 3A 6F C8
21 54 87 BA
3E 7D BC F7
16 49 8E DB
2A 65 A8 F1
09 36 72 C5
3B 7E B9 E4
14 47 89 CC
28 5F 9A F3
1D 4E 83 D8
02 25 68 AF
39 7A B6 E7
1F 4C 81 DE
0B 32 74 C3
24 5B 92 F5
17 4A 8D D1
3A 7F BD E8
10 44 86 C9
2C 63 A7 EA
05 2B 6E A1
38 79 B8 E6
1C 4F 84 DF
00 20 60 A0
2F 66 A9 EB
0D 3E 7F CE
23 58 95 FC
12 46 8B DD
2B 61 A4 F0
08 35 70 C2
3C 7E BF E3
06 2E 5D 9F
31 75 B2 E1
